GID	COG	COG_Name	COG_Class
17365	MD08G1158600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17366	MD08G1158600	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
17367	MD08G1158700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17368	MD08G1158700	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
17369	MD08G1159000	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
17370	MD08G1159100	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
17371	MD08G1159300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17372	MD08G1159600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17373	MD08G1159700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17374	MD08G1159800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17375	MD08G1160000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17376	MD08G1160000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17377	MD08G1160100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17378	MD08G1160100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17379	MD08G1160200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17380	MD08G1160200	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17381	MD08G1160300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17382	MD08G1160400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17383	MD08G1160600	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
17384	MD08G1160700	S	( S ) Function unknown	POORLY CHARACTERIZED
17385	MD08G1160800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17386	MD08G1160900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
17387	MD08G1161000	S	( S ) Function unknown	POORLY CHARACTERIZED
17388	MD08G1161100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17389	MD08G1161200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17390	MD08G1161600	H	( H ) Coenzyme transport and metabolism	METABOLISM
17391	MD08G1161700	E	( E ) Amino acid transport and metabolism	METABOLISM
17392	MD08G1161900	C	( C ) Energy production and conversion	METABOLISM
17393	MD08G1162000	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17394	MD08G1162100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17395	MD08G1162200	H	( H ) Coenzyme transport and metabolism	METABOLISM
17396	MD08G1162300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17397	MD08G1162500	S	( S ) Function unknown	POORLY CHARACTERIZED
17398	MD08G1162600	I	( I ) Lipid transport and metabolism	METABOLISM
17399	MD08G1162800	S	( S ) Function unknown	POORLY CHARACTERIZED
17400	MD08G1163100	I	( I ) Lipid transport and metabolism	METABOLISM
17401	MD08G1163300	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
17402	MD08G1163400	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17403	MD08G1163500	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17404	MD08G1163600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
17405	MD08G1163700	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17406	MD08G1163900	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17407	MD08G1164000	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17408	MD08G1164100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17409	MD08G1164400	S	( S ) Function unknown	POORLY CHARACTERIZED
17410	MD08G1164600	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
17411	MD08G1164800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17412	MD08G1165000	F	( F ) Nucleotide transport and metabolism	METABOLISM
17413	MD08G1165400	S	( S ) Function unknown	POORLY CHARACTERIZED
17414	MD08G1165500	S	( S ) Function unknown	POORLY CHARACTERIZED
17415	MD08G1165600	S	( S ) Function unknown	POORLY CHARACTERIZED
17416	MD08G1165800	S	( S ) Function unknown	POORLY CHARACTERIZED
17417	MD08G1166100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17418	MD08G1166300	S	( S ) Function unknown	POORLY CHARACTERIZED
17419	MD08G1166600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17420	MD08G1166700	S	( S ) Function unknown	POORLY CHARACTERIZED
17421	MD08G1166800	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17422	MD08G1166900	E	( E ) Amino acid transport and metabolism	METABOLISM
17423	MD08G1167600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17424	MD08G1168200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17425	MD08G1168300	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
17426	MD08G1168400	S	( S ) Function unknown	POORLY CHARACTERIZED
17427	MD08G1168600	H	( H ) Coenzyme transport and metabolism	METABOLISM
17428	MD08G1168800	S	( S ) Function unknown	POORLY CHARACTERIZED
17429	MD08G1168900	S	( S ) Function unknown	POORLY CHARACTERIZED
17430	MD08G1169200	E	( E ) Amino acid transport and metabolism	METABOLISM
17431	MD08G1169300	S	( S ) Function unknown	POORLY CHARACTERIZED
17432	MD08G1169400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17433	MD08G1169500	S	( S ) Function unknown	POORLY CHARACTERIZED
17434	MD08G1169600	S	( S ) Function unknown	POORLY CHARACTERIZED
17435	MD08G1169900	H	( H ) Coenzyme transport and metabolism	METABOLISM
17436	MD08G1170000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17437	MD08G1170300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17438	MD08G1170500	S	( S ) Function unknown	POORLY CHARACTERIZED
17439	MD08G1170900	S	( S ) Function unknown	POORLY CHARACTERIZED
17440	MD08G1171400	S	( S ) Function unknown	POORLY CHARACTERIZED
17441	MD08G1171900	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17442	MD08G1172000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17443	MD08G1172100	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17444	MD08G1172400	C	( C ) Energy production and conversion	METABOLISM
17445	MD08G1172600	S	( S ) Function unknown	POORLY CHARACTERIZED
17446	MD08G1173000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17447	MD08G1173200	S	( S ) Function unknown	POORLY CHARACTERIZED
17448	MD08G1173300	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
17449	MD08G1173400	E	( E ) Amino acid transport and metabolism	METABOLISM
17450	MD08G1173500	E	( E ) Amino acid transport and metabolism	METABOLISM
17451	MD08G1173600	S	( S ) Function unknown	POORLY CHARACTERIZED
17452	MD08G1173800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17453	MD08G1174000	H	( H ) Coenzyme transport and metabolism	METABOLISM
17454	MD08G1174100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17455	MD08G1174200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17456	MD08G1174300	S	( S ) Function unknown	POORLY CHARACTERIZED
17457	MD08G1174700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17458	MD08G1174800	I	( I ) Lipid transport and metabolism	METABOLISM
17459	MD08G1174900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
17460	MD08G1175000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17461	MD08G1175100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17462	MD08G1175200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17463	MD08G1175300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17464	MD08G1175400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17465	MD08G1175900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17466	MD08G1176000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17467	MD08G1176300	S	( S ) Function unknown	POORLY CHARACTERIZED
17468	MD08G1176400	S	( S ) Function unknown	POORLY CHARACTERIZED
17469	MD08G1176500	S	( S ) Function unknown	POORLY CHARACTERIZED
17470	MD08G1176600	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17471	MD08G1176900	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17472	MD08G1177000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17473	MD08G1177100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17474	MD08G1177300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17475	MD08G1177400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17476	MD08G1177800	S	( S ) Function unknown	POORLY CHARACTERIZED
17477	MD08G1177900	S	( S ) Function unknown	POORLY CHARACTERIZED
17478	MD08G1178000	I	( I ) Lipid transport and metabolism	METABOLISM
17479	MD08G1178600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17480	MD08G1178700	S	( S ) Function unknown	POORLY CHARACTERIZED
17481	MD08G1178900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17482	MD08G1179000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17483	MD08G1179200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17484	MD08G1179400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17485	MD08G1179500	I	( I ) Lipid transport and metabolism	METABOLISM
17486	MD08G1179700	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17487	MD08G1179900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17488	MD08G1180000	S	( S ) Function unknown	POORLY CHARACTERIZED
17489	MD08G1180200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17490	MD08G1180300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17491	MD08G1180400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17492	MD08G1180600	S	( S ) Function unknown	POORLY CHARACTERIZED
17493	MD08G1180700	S	( S ) Function unknown	POORLY CHARACTERIZED
17494	MD08G1181000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17495	MD08G1181100	S	( S ) Function unknown	POORLY CHARACTERIZED
17496	MD08G1181300	S	( S ) Function unknown	POORLY CHARACTERIZED
17497	MD08G1181400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17498	MD08G1181500	H	( H ) Coenzyme transport and metabolism	METABOLISM
17499	MD08G1181700	H	( H ) Coenzyme transport and metabolism	METABOLISM
17500	MD08G1181800	S	( S ) Function unknown	POORLY CHARACTERIZED
17501	MD08G1181900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17502	MD08G1182200	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17503	MD08G1182300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17504	MD08G1182400	S	( S ) Function unknown	POORLY CHARACTERIZED
17505	MD08G1182500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17506	MD08G1182700	C	( C ) Energy production and conversion	METABOLISM
17507	MD08G1182800	S	( S ) Function unknown	POORLY CHARACTERIZED
17508	MD08G1182900	S	( S ) Function unknown	POORLY CHARACTERIZED
17509	MD08G1183000	S	( S ) Function unknown	POORLY CHARACTERIZED
17510	MD08G1183100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17511	MD08G1183200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17512	MD08G1183300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17513	MD08G1183500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17514	MD08G1183600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17515	MD08G1183900	S	( S ) Function unknown	POORLY CHARACTERIZED
17516	MD08G1184000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17517	MD08G1184100	S	( S ) Function unknown	POORLY CHARACTERIZED
17518	MD08G1184200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17519	MD08G1184300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17520	MD08G1184400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17521	MD08G1184600	S	( S ) Function unknown	POORLY CHARACTERIZED
17522	MD08G1184700	S	( S ) Function unknown	POORLY CHARACTERIZED
17523	MD08G1184900	S	( S ) Function unknown	POORLY CHARACTERIZED
17524	MD08G1185000	C	( C ) Energy production and conversion	METABOLISM
17525	MD08G1185000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17526	MD08G1185200	C	( C ) Energy production and conversion	METABOLISM
17527	MD08G1185200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17528	MD08G1185400	C	( C ) Energy production and conversion	METABOLISM
17529	MD08G1185400	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17530	MD08G1185500	C	( C ) Energy production and conversion	METABOLISM
17531	MD08G1185500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17532	MD08G1185600	C	( C ) Energy production and conversion	METABOLISM
17533	MD08G1185600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17534	MD08G1185700	C	( C ) Energy production and conversion	METABOLISM
17535	MD08G1185700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17536	MD08G1185900	S	( S ) Function unknown	POORLY CHARACTERIZED
17537	MD08G1186000	S	( S ) Function unknown	POORLY CHARACTERIZED
17538	MD08G1186100	S	( S ) Function unknown	POORLY CHARACTERIZED
17539	MD08G1186300	S	( S ) Function unknown	POORLY CHARACTERIZED
17540	MD08G1186400	S	( S ) Function unknown	POORLY CHARACTERIZED
17541	MD08G1186500	S	( S ) Function unknown	POORLY CHARACTERIZED
17542	MD08G1186700	E	( E ) Amino acid transport and metabolism	METABOLISM
17543	MD08G1186800	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
17544	MD08G1186800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17545	MD08G1186900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17546	MD08G1187000	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17547	MD08G1187200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17548	MD08G1187300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17549	MD08G1187400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17550	MD08G1187500	S	( S ) Function unknown	POORLY CHARACTERIZED
17551	MD08G1187700	C	( C ) Energy production and conversion	METABOLISM
17552	MD08G1187800	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
17553	MD08G1187900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17554	MD08G1188000	S	( S ) Function unknown	POORLY CHARACTERIZED
17555	MD08G1188100	S	( S ) Function unknown	POORLY CHARACTERIZED
17556	MD08G1188400	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17557	MD08G1188500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17558	MD08G1188600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17559	MD08G1188700	S	( S ) Function unknown	POORLY CHARACTERIZED
17560	MD08G1188800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17561	MD08G1188800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
17562	MD08G1188900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17563	MD08G1189500	S	( S ) Function unknown	POORLY CHARACTERIZED
17564	MD08G1189600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17565	MD08G1189900	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17566	MD08G1190300	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17567	MD08G1190400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17568	MD08G1190500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17569	MD08G1190600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17570	MD08G1190800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17571	MD08G1190800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17572	MD08G1190900	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
17573	MD08G1191000	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
17574	MD08G1191100	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17575	MD08G1191300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17576	MD08G1191400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17577	MD08G1191600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17578	MD08G1191700	E	( E ) Amino acid transport and metabolism	METABOLISM
17579	MD08G1191800	H	( H ) Coenzyme transport and metabolism	METABOLISM
17580	MD08G1192000	S	( S ) Function unknown	POORLY CHARACTERIZED
17581	MD08G1192100	S	( S ) Function unknown	POORLY CHARACTERIZED
17582	MD08G1192300	S	( S ) Function unknown	POORLY CHARACTERIZED
17583	MD08G1192400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17584	MD08G1192700	S	( S ) Function unknown	POORLY CHARACTERIZED
17585	MD08G1192800	S	( S ) Function unknown	POORLY CHARACTERIZED
17586	MD08G1192900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17587	MD08G1193300	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
17588	MD08G1193400	S	( S ) Function unknown	POORLY CHARACTERIZED
17589	MD08G1193500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17590	MD08G1193600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17591	MD08G1193800	F	( F ) Nucleotide transport and metabolism	METABOLISM
17592	MD08G1193900	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
17593	MD08G1194000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17594	MD08G1194100	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17595	MD08G1194300	F	( F ) Nucleotide transport and metabolism	METABOLISM
17596	MD08G1194600	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
17597	MD08G1194700	F	( F ) Nucleotide transport and metabolism	METABOLISM
17598	MD08G1194800	F	( F ) Nucleotide transport and metabolism	METABOLISM
17599	MD08G1194900	C	( C ) Energy production and conversion	METABOLISM
17600	MD08G1195000	F	( F ) Nucleotide transport and metabolism	METABOLISM
17601	MD08G1195100	F	( F ) Nucleotide transport and metabolism	METABOLISM
17602	MD08G1195300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17603	MD08G1195400	C	( C ) Energy production and conversion	METABOLISM
17604	MD08G1195600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17605	MD08G1195800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17606	MD08G1196100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
17607	MD08G1196200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17608	MD08G1196300	S	( S ) Function unknown	POORLY CHARACTERIZED
17609	MD08G1196400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17610	MD08G1196500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
17611	MD08G1196600	S	( S ) Function unknown	POORLY CHARACTERIZED
17612	MD08G1196700	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17613	MD08G1196900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17614	MD08G1197000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17615	MD08G1197200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17616	MD08G1197300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17617	MD08G1197400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17618	MD08G1197500	S	( S ) Function unknown	POORLY CHARACTERIZED
17619	MD08G1197600	S	( S ) Function unknown	POORLY CHARACTERIZED
17620	MD08G1197800	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
17621	MD08G1197900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17622	MD08G1198000	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
17623	MD08G1198100	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
17624	MD08G1198200	S	( S ) Function unknown	POORLY CHARACTERIZED
17625	MD08G1198300	S	( S ) Function unknown	POORLY CHARACTERIZED
17626	MD08G1198800	S	( S ) Function unknown	POORLY CHARACTERIZED
17627	MD08G1198900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17628	MD08G1199100	C	( C ) Energy production and conversion	METABOLISM
17629	MD08G1199200	S	( S ) Function unknown	POORLY CHARACTERIZED
17630	MD08G1199300	S	( S ) Function unknown	POORLY CHARACTERIZED
17631	MD08G1199400	S	( S ) Function unknown	POORLY CHARACTERIZED
17632	MD08G1199500	S	( S ) Function unknown	POORLY CHARACTERIZED
17633	MD08G1199700	S	( S ) Function unknown	POORLY CHARACTERIZED
17634	MD08G1200000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17635	MD08G1200100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17636	MD08G1200200	S	( S ) Function unknown	POORLY CHARACTERIZED
17637	MD08G1200300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17638	MD08G1200500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17639	MD08G1200600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17640	MD08G1200700	C	( C ) Energy production and conversion	METABOLISM
17641	MD08G1200700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
17642	MD08G1200800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17643	MD08G1200900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17644	MD08G1201200	S	( S ) Function unknown	POORLY CHARACTERIZED
17645	MD08G1201300	I	( I ) Lipid transport and metabolism	METABOLISM
17646	MD08G1201600	S	( S ) Function unknown	POORLY CHARACTERIZED
17647	MD08G1201700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17648	MD08G1201800	S	( S ) Function unknown	POORLY CHARACTERIZED
17649	MD08G1202000	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17650	MD08G1202100	S	( S ) Function unknown	POORLY CHARACTERIZED
17651	MD08G1202300	S	( S ) Function unknown	POORLY CHARACTERIZED
17652	MD08G1202400	S	( S ) Function unknown	POORLY CHARACTERIZED
17653	MD08G1202500	S	( S ) Function unknown	POORLY CHARACTERIZED
17654	MD08G1202600	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
17655	MD08G1202700	S	( S ) Function unknown	POORLY CHARACTERIZED
17656	MD08G1202800	S	( S ) Function unknown	POORLY CHARACTERIZED
17657	MD08G1202900	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
17658	MD08G1203000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17659	MD08G1203200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17660	MD08G1203300	S	( S ) Function unknown	POORLY CHARACTERIZED
17661	MD08G1203600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17662	MD08G1203800	C	( C ) Energy production and conversion	METABOLISM
17663	MD08G1203900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
17664	MD08G1204000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17665	MD08G1204400	S	( S ) Function unknown	POORLY CHARACTERIZED
17666	MD08G1204500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17667	MD08G1204600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17668	MD08G1204700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
17669	MD08G1204800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
17670	MD08G1205000	S	( S ) Function unknown	POORLY CHARACTERIZED
17671	MD08G1205100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17672	MD08G1205300	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
17673	MD08G1205500	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
17674	MD08G1205600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
17675	MD08G1205700	S	( S ) Function unknown	POORLY CHARACTERIZED
17676	MD08G1205800	S	( S ) Function unknown	POORLY CHARACTERIZED
17677	MD08G1205900	S	( S ) Function unknown	POORLY CHARACTERIZED
17678	MD08G1206100	S	( S ) Function unknown	POORLY CHARACTERIZED
